APELLIDOS,TOTAL
HERNANDEZ,"419,061"
MARTINEZ,"324,820"
LOPEZ,"243,591"
GARCIA,"224,524"
RODRIGUEZ,"185,319"
FLORES,"183,384"
PEREZ,"172,924"
RAMIREZ,"163,992"
GONZALEZ,"160,867"
RIVERA,"148,042"
VASQUEZ,"145,679"
CRUZ,"143,794"
MEJIA,"126,502"
RIVAS,"119,358"
SANCHEZ,"119,272"
REYES,"108,815"
DIAZ,"102,348"
RAMOS,"100,535"
GOMEZ,"99,104"
PORTILLO,"98,787"
ESCOBAR,"93,067"
ORELLANA,"91,892"
ROMERO,"85,179"
AGUILAR,"83,724"
ALVARADO,"79,504"
AMAYA,"75,007"
ARGUETA,"71,925"
AYALA,"71,122"
GUEVARA,"69,857"
MORALES,"68,848"
TORRES,"68,363"
CASTRO,"67,140"
PINEDA,"67,128"
CAMPOS,"66,431"
CHAVEZ,"65,915"
MENDOZA,"64,267"
MOLINA,"63,657"
ALFARO,"63,312"
BONILLA,"63,037"
MENDEZ,"62,691"
CASTILLO,"60,693"
FUENTES,"59,847"
GUZMAN,"59,406"
ORTIZ,"57,693"
MENJIVAR,"55,594"
CORTEZ,"55,144"
HENRIQUEZ,"54,610"
QUINTANILLA,"50,616"
SANTOS,"48,020"
ALVAREZ,"46,995"
AREVALO,"46,959"
VELASQUEZ,"46,948"
VENTURA,"45,502"
HERRERA,"44,301"
GUTIERREZ,"43,423"
ROSALES,"41,486"
MELENDEZ,"39,793"
LEMUS,"38,657"
JIMENEZ,"37,293"
BENITEZ,"36,951"
MARROQUIN,"36,577"
MIRANDA,"35,934"
GUARDADO,"35,652"
PALACIOS,"35,605"
CALDERON,"35,140"
MORAN,"34,261"
RUIZ,"33,402"
PEÑA,"32,528"
ALVARENGA,"31,237"
SERRANO,"31,153"
BELTRAN,"30,806"
LINARES,"30,422"
SANDOVAL,"30,313"
ARIAS,"29,652"
CONTRERAS,"29,640"
GRANADOS,"29,263"
MORENO,"29,233"
SALAZAR,"28,216"
FIGUEROA,"28,005"
ZELAYA,"27,785"
ALAS,"27,783"
BARRERA,"27,218"
DURAN,"26,831"
SORTO,"26,357"
LANDAVERDE,"25,744"
CABRERA,"25,466"
CHICAS,"25,402"
MARQUEZ,"25,386"
JUAREZ,"25,168"
BARAHONA,"25,046"
GALDAMEZ,"24,961"
MELGAR,"23,490"
RECINOS,"23,472"
MEDRANO,"23,293"
LARA,"22,527"
MANCIA,"22,464"
CARRANZA,"22,275"
VALLE,"21,585"
DOMINGUEZ,"21,470"
CORNEJO,"21,304"
GUERRA,"21,008"
PARADA,"20,982"
TOBAR,"20,604"
VILLALTA,"20,447"
VILLATORO,"20,408"
AGUIRRE,"20,378"
SARAVIA,"20,279"
ZEPEDA,"20,250"
COREAS,"19,558"
MUÑOZ,"19,257"
GUERRERO,"19,216"
OSORIO,"19,176"
BLANCO,"19,137"
IRAHETA,"19,003"
VALENCIA,"18,950"
MELARA,"18,901"
GIRON,"18,846"
UMAÑA,"18,638"
VALLADARES,"18,632"
DELGADO,"18,588"
ASCENCIO,"18,450"
CANALES,"18,327"
FRANCO,"18,194"
AVALOS,"17,912"
FUNES,"17,585"
ESTRADA,"17,333"
LEIVA,"17,332"
SORIANO,"17,279"
TURCIOS,"17,242"
NAVARRO,"17,207"
GUILLEN,"17,050"
SOSA,"16,981"
AQUINO,"16,841"
CHACON,"16,593"
ANDRADE,"16,365"
CORDOVA,"16,358"
MEDINA,"16,295"
ACOSTA,"16,183"
MAGAÑA,"16,095"
MERINO,"16,022"
ESCALANTE,"15,898"
LUNA,"15,877"
ESPINOZA,"15,874"
CAÑAS,"15,812"
ALEMAN,"15,811"
FERNANDEZ,"15,349"
LAZO,"15,228"
TEJADA,"15,177"
BARRIENTOS,"15,118"
MONGE,"14,852"
CUELLAR,"14,747"
RODAS,"14,622"
CASTANEDA,"14,272"
HUEZO,"14,267"
ELIAS,"14,179"
NOLASCO,"14,107"
PONCE,"14,085"
MALDONADO,"13,857"
ABREGO,"13,848"
QUINTEROS,"13,840"
CACERES,"13,776"
NUÑEZ,"13,418"
CARRILLO,"13,333"
SEGOVIA,"13,312"
MENENDEZ,"13,193"
TREJO,"13,156"
SALINAS,"13,136"
LEON,"13,049"
OCHOA,"13,024"
PACHECO,"12,991"
ORTEGA,"12,967"
NAVARRETE,"12,953"
JOVEL,"12,853"
SANTAMARIA,"12,835"
MENA,"12,794"
VILLANUEVA,"12,698"
ACEVEDO,"12,614"
VILLALOBOS,"12,479"
AVELAR,"12,382"
ZAVALA,"12,370"
APARICIO,"12,329"
AVILES,"12,245"
MONTOYA,"12,145"
CERON,"12,143"
SOLIS,"12,107"
RENDEROS,"12,066"
MEMBREÑO,"11,975"
LAINEZ,"11,696"
ROSA,"11,694"
VARGAS,"11,617"
VEGA,"11,600"
RUBIO,"11,534"
VANEGAS,"11,432"
GARAY,"11,380"
CARCAMO,"11,349"
PALMA,"11,251"
DEL CID,"11,193"
GAMEZ,"11,191"
BATRES,"11,118"
GALVEZ,"11,073"
SALMERON,"11,035"
SOLORZANO,"11,022"
SIBRIAN,"11,015"
BOLAÑOS,"10,821"
BERMUDEZ,"10,740"
ROJAS,"10,719"
ANGEL,"10,707"
PERAZA,"10,499"
ABARCA,"10,445"
PEÑATE,"10,354"
VIDES,"10,299"
MATA,"10,293"
SALGUERO,"10,188"
MONTANO,"10,118"
PERDOMO,"10,064"
MURCIA,"10,022"
ECHEVERRIA,"10,011"
UMANZOR,"9,935"
CLAROS,"9,840"
ARDON,"9,803"
DE PAZ,"9,754"
QUIJADA,"9,721"
CISNEROS,"9,637"
MARAVILLA,"9,622"
PAZ,"9,616"
POLANCO,"9,611"
CASTELLANOS,"9,601"
MONTES,"9,581"
MAJANO,"9,557"
CHAVARRIA,"9,529"
VIGIL,"9,527"
BENAVIDES,"9,494"
ERAZO,"9,433"
LIMA,"9,403"
CARTAGENA,"9,347"
BAIRES,"9,224"
BAUTISTA,"9,215"
BERRIOS,"9,212"
ZUNIGA,"9,108"
CARDOZA,"9,096"
DERAS,"9,053"
MONTERROSA,"9,028"
BERNAL,"8,931"
GALICIA,"8,859"
MERCADO,"8,825"
ORANTES,"8,784"
NIETO,"8,766"
NAVAS,"8,754"
ANAYA,"8,711"
AVILA,"8,552"
GRANDE,"8,469"
ROBLES,"8,455"
LOZANO,"8,445"
URRUTIA,"8,384"
PEREIRA,"8,332"
HIDALGO,"8,312"
DE LEON,"8,272"
ZALDAÑA,"8,253"
CUBIAS,"8,240"
CALLES,"8,160"
CENTENO,"8,028"
CARDONA,"8,021"
PLEITEZ,"7,996"
MACHADO,"7,990"
RAUDA,"7,922"
URBINA,"7,892"
CRESPIN,"7,762"
PAREDES,"7,753"
CARPIO,"7,636"
VELASCO,"7,606"
ALARCON,"7,602"
ZAMORA,"7,601"
RUANO,"7,575"
PADILLA,"7,564"
OLIVA,"7,526"
YANES,"7,526"
ROQUE,"7,450"
MARIN,"7,316"
URIAS,"7,305"
POSADA,"7,291"
ARAGON,"7,272"
ALBERTO,"7,239"
LOVO,"7,207"
MUNGUIA,"7,146"
SEGURA,"7,117"
RIOS,"7,028"
CALLEJAS,"7,026"
CARBALLO,"6,973"
URQUILLA,"6,932"
COTO,"6,907"
ARAUJO,"6,897"
TRUJILLO,"6,824"
VALDEZ,"6,815"
MAZARIEGO,"6,765"
SOTO,"6,763"
QUIJANO,"6,734"
CASTELLON,"6,707"
PANAMEÑO,"6,685"
DUARTE,"6,660"
SILVA,"6,611"
CERNA,"6,584"
ORDOÑEZ,"6,551"
COLOCHO,"6,531"
JOYA,"6,521"
ALDANA,"6,483"
MURILLO,"6,480"
BARILLAS,"6,457"
ARTIGA,"6,424"
ULLOA,"6,384"
CARIAS,"6,383"
CHEVEZ,"6,372"
ESCAMILLA,"6,370"
CHINCHILLA,"6,347"
QUEZADA,"6,310"
SOLANO,"6,290"
CABALLERO,"6,243"
ASENCIO,"6,202"
VILLEGAS,"6,191"
SALGADO,"6,107"
CARBAJAL,"6,092"
ESQUIVEL,"6,056"
LIZAMA,"6,055"
MONTERROZA,"5,963"
GAITAN,"5,959"
NAJARRO,"5,947"
HERCULES,"5,922"
FLAMENCO,"5,914"
INTERIANO,"5,853"
ZETINO,"5,799"
ORTEZ,"5,745"
ARTEAGA,"5,735"
LARIN,"5,690"
MOREIRA,"5,606"
DUEÑAS,"5,589"
BURGOS,"5,575"
NERIO,"5,575"
ARANA,"5,569"
GIL,"5,562"
GALAN,"5,557"
SIGUENZA,"5,539"
IGLESIAS,"5,458"
ARCE,"5,382"
ARRIOLA,"5,352"
DE LA O,"5,329"
GODOY,"5,313"
PLATERO,"5,221"
CORADO,"5,218"
FABIAN,"5,216"
DE LA CRUZ,"5,200"
SERPAS,"5,148"
PERLA,"5,141"
MADRID,"5,138"
MIRA,"5,111"
VILLEDA,"5,108"
DUBON,"5,060"
PANIAGUA,"5,052"
SALVADOR,"4,943"
JACOBO,"4,861"
RAYMUNDO,"4,811"
LARIOS,"4,801"
PINTO,"4,787"
PAIZ,"4,762"
ZELADA,"4,762"
ZAVALETA,"4,714"
MERLOS,"4,693"
CERRITOS,"4,678"
BORJA,"4,670"
CEDILLOS,"4,634"
AGUILLON,"4,590"
OLMEDO,"4,580"
LUE,"4,576"
VILLACORTA,"4,469"
TRIGUEROS,"4,457"
MONROY,"4,409"
MEZA,"4,358"
CORVERA,"4,351"
OSEGUEDA,"4,350"
OLIVARES,"4,346"
MARTIR,"4,335"
BRIZUELA,"4,323"
JURADO,"4,311"
MOJICA,"4,278"
CANIZALEZ,"4,268"
REGALADO,"4,251"
NAJERA,"4,215"
VELIS,"4,214"
ALEGRIA,"4,193"
PREZA,"4,169"
SERMEÑO,"4,143"
VIERA,"4,137"
BELLOSO,"4,135"
POCASANGRE,"4,098"
ARRIAZA,"3,987"
SALAMANCA,"3,937"
VALIENTE,"3,899"
FERMAN,"3,877"
SERVELLON,"3,840"
MACHUCA,"3,821"
BAÑOS,"3,797"
GODINEZ,"3,791"
CHICA,"3,790"
SANABRIA,"3,782"
VARELA,"3,714"
ANZORA,"3,698"
CLIMACO,"3,686"
CEA,"3,664"
CORDERO,"3,660"
AGUILERA,"3,606"
GUADRON,"3,547"
MORATAYA,"3,529"
CONSTANZA,"3,506"
TICAS,"3,502"
DIMAS,"3,498"
GUANDIQUE,"3,466"
CABEZAS,"3,432"
MANZANO,"3,432"
MARADIAGA,"3,413"
ESPINAL,"3,406"
HURTADO,"3,369"
SIGARAN,"3,322"
FAJARDO,"3,288"
SAMAYOA,"3,244"
GAVIDIA,"3,243"
MOZ,"3,222"
LOVATO,"3,217"
NAVIDAD,"3,199"
ROGEL,"3,184"
MANZANARES,"3,148"
RETANA,"3,063"
SIGÜENZA,"3,051"
BARRAZA,"3,038"
COLINDRES,"3,038"
VAQUERANO,"3,025"
SAENZ,"3,007"
PIMENTEL,"3,004"
CANJURA,"2,989"
JORGE,"2,986"
GOCHEZ,"2,977"
CANO,"2,971"
LOVOS,"2,929"
TRINIDAD,"2,927"
CAÑENGUEZ,"2,909"
VALENZUELA,"2,891"
CEREN,"2,888"
ARGUMEDO,"2,873"
GALEAS,"2,851"
GALLARDO,"2,847"
CHOTO,"2,840"
BRAN,"2,832"
ANDRES,"2,831"
VIVAS,"2,811"
SALDAÑA,"2,786"
GALLEGOS,"2,781"
RAFAEL,"2,737"
IBARRA,"2,711"
MOYA,"2,703"
ZOMETA,"2,701"
GONZALES,"2,673"
DELEON,"2,669"
JACO,"2,652"
LOBOS,"2,637"
TEPAS,"2,617"
CLAVEL,"2,602"
TOLEDO,"2,582"
PACAS,"2,582"
QUIÑONEZ,"2,567"
CASCO,"2,554"
REINA,"2,552"
CRISTALES,"2,551"
PRUDENCIO,"2,546"
POLIO,"2,538"
PENADO,"2,531"
CUADRA,"2,511"
MAYORGA,"2,507"
MAURICIO,"2,499"
DEODANES,"2,465"
QUEVEDO,"2,460"
CLEMENTE,"2,447"
SANTANA,"2,426"
COLATO,"2,415"
GAMERO,"2,408"
GRIJALVA,"2,396"
MONTALVO,"2,391"
TOBIAS,"2,382"
ZALDIVAR,"2,377"
FERRUFINO,"2,376"
PALENCIA,"2,367"
LUCERO,"2,363"
TOVAR,"2,357"
SURA,"2,347"
GALINDO,"2,347"
COREA,"2,328"
MINERO,"2,316"
COCA,"2,302"
MARINERO,"2,286"
JACINTO,"2,267"
ARTERO,"2,260"
IBAÑEZ,"2,244"
SARMIENTO,"2,237"
JAIME,"2,218"
JANDRES,"2,197"
MARMOL,"2,193"
PALOMO,"2,188"
SUAREZ,"2,187"
PERALTA,"2,186"
ESCOTO,"2,167"
CARABANTES,"2,163"
BARRIOS,"2,150"
COLORADO,"2,149"
CORTES,"2,133"
LOBO,"2,130"
AVENDAÑO,"2,117"
EGUIZABAL,"2,103"
VELA,"2,102"
INGLES,"2,089"
JIRON,"2,086"
ALCANTARA,"2,083"
NOYOLA,"2,062"
MIRON,"2,061"
SANTIAGO,"2,047"
ARANIVA,"2,046"
ROMAN,"2,042"
SAAVEDRA,"2,042"
TADEO,"2,041"
OTERO,"2,022"
AGUILUZ,"2,021"
MURGA,"2,020"
SURIANO,"2,017"
ESPERANZA,"2,016"
SOMOZA,"2,015"
AZUCENA,"2,014"
NOVOA,"2,012"
SIERRA,"1,999"
MUNDO,"1,997"
HENRRIQUEZ,"1,987"
ANTONIO,"1,979"
MONZON,"1,975"
CATALAN,"1,972"
VICENTE,"1,967"
OVIEDO,"1,959"
SOLA,"1,942"
BENAVIDEZ,"1,931"
PERLERA,"1,920"
GUIROLA,"1,919"
GRANILLO,"1,918"
ALONSO,"1,918"
MIGUEL,"1,866"
MONTENEGRO,"1,857"
MONTEAGUDO,"1,855"
ACUÑA,"1,854"
VALDES,"1,841"
VALLES,"1,832"
GALEANO,"1,827"
SILIEZAR,"1,807"
ESPAÑA,"1,800"
MAYEN,"1,795"
CIENFUEGOS,"1,777"
OSTORGA,"1,770"
AGREDA,"1,747"
REQUENO,"1,730"
CARDENAS,"1,729"
MATUTE,"1,720"
CHACHAGUA,"1,716"
MIJANGO,"1,712"
OLIVAR,"1,702"
LIPE,"1,695"
SAGASTUME,"1,692"
REVELO,"1,691"
CANIZALES,"1,685"
ARRIAGA,"1,680"
CHAMUL,"1,672"
PATRIZ,"1,661"
SALAS,"1,659"
BURUCA,"1,645"
MONTIEL,"1,644"
LOZA,"1,638"
CLARA,"1,631"
SALES,"1,628"
PICHE,"1,619"
MULATO,"1,610"
CANTARERO,"1,601"
YANEZ,"1,591"
ZACAPA,"1,586"
ZECEÑA,"1,583"
RUGAMAS,"1,581"
MOZO,"1,569"
VIDAL,"1,568"
ERROA,"1,558"
CALZADILLA,"1,557"
BUSTILLO,"1,556"
GUIDO,"1,548"
CARMONA,"1,529"
TOLENTINO,"1,526"
ARBAIZA,"1,524"
GRANADEÑO,"1,517"
PICHINTE,"1,517"
ESQUINA,"1,509"
MONICO,"1,507"
TORREZ,"1,499"
LUCHA,"1,493"
RAIMUNDO,"1,484"
MATAMOROS,"1,481"
ANDINO,"1,478"
MATE,"1,472"
ANGULO,"1,470"
JOAQUIN,"1,460"
MEZQUITA,"1,458"
MESTIZO,"1,457"
MONJARAS,"1,431"
MARQUINA,"1,430"
CRESPO,"1,428"
RICO,"1,424"
CORPEÑO,"1,412"
ARANDA,"1,406"
PAYES,"1,396"
MINA,"1,395"
VIANA,"1,379"
GRACIAS,"1,378"
ECHEGOYEN,"1,378"
SANTACRUZ,"1,370"
ESTUPINIAN,"1,364"
LAGUAN,"1,351"
QUINTANA,"1,348"
CORLETO,"1,348"
BOJORQUEZ,"1,346"
POZO,"1,343"
CAZUN,"1,343"
REALEGEÑO,"1,338"
MAYE,"1,337"
MARENCO,"1,332"
VISCARRA,"1,318"
PASCUAL,"1,312"
JORDAN,"1,309"
CERROS,"1,305"
MOREJON,"1,296"
AGUILA,"1,287"
CANDELARIO,"1,286"
CALERO,"1,285"
LINO,"1,284"
JAIMES,"1,275"
VILLAFUERTE,"1,273"
ANCHETA,"1,269"
REINOSA,"1,265"
TINO,"1,264"
EUCEDA,"1,262"
DAVILA,"1,262"
ZAPATA,"1,258"
CALIX,"1,258"
SICILIANO,"1,250"
BENITES,"1,248"
CHIQUILLO,"1,247"
BERNABE,"1,245"
LORENZANA,"1,243"
OROZCO,"1,233"
LOBATO,"1,229"
ARCHILA,"1,227"
ZELEDON,"1,209"
EVORA,"1,209"
ARRUE,"1,208"
CANTON,"1,204"
ROLDAN,"1,202"
ARITA,"1,201"
CANDRAY,"1,193"
RODEZNO,"1,192"
ALONZO,"1,190"
MASIN,"1,189"
CASTAÑEDA,"1,186"
CUEVA,"1,180"
MANGANDI,"1,179"
NUILA,"1,164"
TORRENTO,"1,155"
LEONOR,"1,151"
VELIZ,"1,151"
POSADAS,"1,149"
BRITO,"1,143"
AGUIÑADA,"1,129"
SURIA,"1,127"
TENORIO,"1,124"
UCEDA,"1,120"
GUATEMALA,"1,117"
MARIONA,"1,114"
CHIRINO,"1,111"
ZELAYANDIA,"1,110"
ARGUERA,"1,106"
MARTEL,"1,098"
CORONADO,"1,095"
GANUZA,"1,095"
LIRA,"1,093"
BONIFACIO,"1,091"
ZARCEÑO,"1,089"
BORJAS,"1,088"
ANTILLON,"1,079"
ESPINO,"1,069"
PRADO,"1,068"
CANTOR,"1,067"
ALEJO,"1,062"
CARRILLOS,"1,056"
MONDRAGON,"1,038"
OSORTO,"1,031"
QUIROZ,"1,021"
MONRROY,"1,020"
MALTEZ,"1,018"
PRIETO,"1,016"
SANTILLANA,"1,015"
LETONA,"1,014"
JAVIER,"1,012"
MINEROS,"1,008"
CARLOS,"1,006"
FERRER,"1,000"
SIFONTES,997
ALFEREZ,994
ALMENDAREZ,993
FRANCIA,989
AMADOR,989
RINCAN,989
TOLOZA,971
MURGAS,970
CHANICO,966
RAMON,959
GUIDOS,957
TREMINIO,954
ANDASOL,954
CADENAS,953
NOCHEZ,953
ISIDRO,952
CATOTA,947
JEREZ,943
VAQUERO,942
RENDON,938
