NOMBRES,TOTAL
JOSE,"530,756"
MARIA,"517,317"
ANTONIO,"317,528"
ANA,"194,305"
CARLOS,"164,890"
DEL CARMEN,"163,107"
ELIZABETH,"149,300"
DE JESUS,"139,585"
JUAN,"127,675"
ALEXANDER,"124,962"
ROSA,"120,711"
ALBERTO,"119,195"
LUIS,"109,062"
ERNESTO,"102,094"
MANUEL,"97,318"
FRANCISCO,"95,108"
GUADALUPE,"88,220"
SANTOS,"79,190"
ISABEL,"75,693"
OSCAR,"73,191"
ANGEL,"72,266"
MIGUEL,"66,205"
BLANCA,"62,142"
BEATRIZ,"61,498"
ROBERTO,"59,802"
ENRIQUE,"58,482"
ALFREDO,"57,563"
CAROLINA,"56,545"
MAURICIO,"55,715"
MARTA,"55,107"
JORGE,"54,714"
MARGARITA,"54,004"
ARMANDO,"53,532"
DAVID,"53,432"
ALICIA,"51,961"
PATRICIA,"51,030"
EDUARDO,"50,633"
MARIO,"47,421"
SANDRA,"47,334"
DANIEL,"42,824"
GLORIA,"42,492"
JULIO,"42,045"
CESAR,"40,545"
ELENA,"39,582"
RAFAEL,"39,452"
JUANA,"38,973"
CLAUDIA,"38,947"
YAMILETH,"38,563"
RICARDO,"38,056"
ESPERANZA,"38,014"
RENE,"37,867"
ESMERALDA,"37,797"
JOSUE,"36,702"
SILVIA,"36,394"
TERESA,"36,264"
EDWIN,"36,183"
VICTOR,"35,897"
SALVADOR,"35,650"
PEDRO,"35,468"
MARINA,"35,310"
SONIA,"35,111"
ROXANA,"34,841"
ESTELA,"34,596"
VERONICA,"33,891"
CECILIA,"33,341"
KARLA,"33,089"
NELSON,"33,050"
ANTONIA,"32,908"
ALEJANDRO,"32,338"
REINA,"32,334"
JULIA,"32,118"
MERCEDES,"31,304"
LUZ,"30,826"
YANIRA,"30,625"
LIDIA,"30,302"
MARISOL,"30,255"
JAVIER,"30,064"
CONCEPCION,"29,974"
LORENA,"29,942"
HUMBERTO,"29,821"
JESUS,"29,316"
VILMA,"29,235"
EDGARDO,"28,986"
DE LOS ANGELES,"28,697"
YESENIA,"28,361"
FRANCISCA,"28,299"
CRISTINA,"28,076"
DOLORES,"27,896"
HECTOR,"26,964"
ORLANDO,"26,936"
ALONSO,"26,329"
CARMEN,"26,303"
OMAR,"26,270"
ARACELY,"26,102"
WALTER,"25,338"
ABIGAIL,"25,276"
MAGDALENA,"24,980"
VANESSA,"24,824"
RUTH,"24,634"
FERNANDO,"24,584"
RAUL,"24,567"
MARIBEL,"24,375"
MIRNA,"23,870"
GABRIELA,"23,636"
MARVIN,"23,532"
DORA,"23,413"
LILIAN,"23,368"
JAIME,"23,029"
ALEJANDRA,"22,833"
ALFONSO,"22,706"
YANETH,"22,655"
KEVIN,"22,254"
LISSETH,"22,141"
WILFREDO,"21,457"
MARITZA,"21,406"
NORMA,"21,346"
WILLIAM,"21,168"
ANGELA,"21,046"
ARELY,"21,041"
RAQUEL,"20,949"
IRMA,"20,900"
PABLO,"20,528"
XIOMARA,"20,036"
WENDY,"19,995"
SAMUEL,"19,990"
FLOR,"19,476"
KAREN,"19,407"
JONATHAN,"19,324"
GUILLERMO,"19,194"
ADALBERTO,"19,030"
VLADIMIR,"19,000"
SAUL,"18,798"
ELMER,"18,647"
ERICK,"18,413"
NOEMI,"18,396"
EVELYN,"18,329"
ELIAS,"18,251"
ALEXIS,"18,242"
AMILCAR,"18,168"
NOE,"18,151"
LISSETTE,"18,113"
ANDRES,"17,870"
ARTURO,"17,617"
NOEMY,"17,587"
DELMY,"17,576"
MOISES,"17,571"
LUCIA,"17,279"
ANGELICA,"17,221"
MARLENE,"17,167"
YOLANDA,"17,017"
